Player,Position,Age,Team,G,Tgt,Rec,Yds,Target_Share,CATCHABLE,AIR,team_air,air_pct,RZ TGT,RZ_REC,RZ_REC_PCT,RZ_P_TD,RZ_TGT_PCT,Routes Run,FPTS,FPTS/G,XFP,fpts_diff,RTD,TD/G,XTD,td_diff,WOPR,VOR,YPRR,normalized_line,TGT/G
chris olave,WR,25,NOR,16,156,100,1163,27.61,105,1841,4787,38.46,15,7,46.7%,5,44.1%,586,268.0,16.8,16.0,0.7,9,0.56,0.45,0.11,0.68,3.8,1.98,,9.75
rome odunze,WR,23,CHI,12,90,44,661,16.92,46,1252,4944,25.32,12,5,41.7%,3,28.6%,415,146.1,12.2,14.4,-2.2,6,0.5,0.5,0.0,0.43,-0.8,1.59,,7.5
jakobi meyers,WR,29,2TM,16,110,75,835,22.27,77,1008,3208,31.42,15,7,46.7%,3,20.5%,529,175.8,11.0,12.4,-1.4,3,0.19,0.37,-0.18,0.55,-2.0,1.58,,6.88
khalil shakir,WR,25,BUF,16,95,72,719,19.83,74,349,3614,9.66,13,10,76.9%,2,37.1%,422,166.4,10.4,9.3,1.1,4,0.25,0.15,0.1,0.37,-2.6,1.7,,5.94
ricky pearsall,WR,25,SFO,9,53,36,528,9.64,37,748,4296,17.41,4,1,25.0%,0,14.3%,287,88.6,9.8,10.6,-0.7,0,0.0,0.23,-0.23,0.27,-3.2,1.84,,5.89
michael pittman,WR,28,IND,17,111,80,784,20.94,86,907,4380,20.71,15,8,53.3%,5,37.5%,542,202.4,11.9,11.6,0.3,7,0.41,0.31,0.1,0.46,-1.1,1.45,,6.53
stefon diggs,WR,32,NWE,17,102,85,1013,21.16,88,871,4612,18.89,12,9,75.0%,4,41.4%,421,210.3,12.4,10.2,2.1,4,0.24,0.27,-0.03,0.45,-0.6,2.41,,6.0
keon coleman,WR,22,BUF,12,59,38,404,12.32,41,659,3614,18.23,9,6,66.7%,3,25.7%,317,102.4,8.5,9.5,-1.0,4,0.33,0.33,0.0,0.31,-4.5,1.27,,4.92
jordan addison,WR,23,MIN,14,79,42,610,16.88,48,1083,3757,28.83,13,7,53.8%,3,29.5%,450,135.1,9.7,10.2,-0.5,3,0.29,0.37,-0.09,0.45,-3.3,1.36,,5.64
chris godwin,WR,29,TAM,9,51,33,360,9.43,34,361,4504,8.02,7,3,42.9%,2,15.2%,268,83.0,9.2,9.6,-0.4,2,0.22,0.29,-0.07,0.2,-3.8,1.34,,5.67
rashid shaheed,WR,27,2TM,18,92,59,687,16.28,59,1053,4787,22.0,9,6,66.7%,1,13.0%,490,156.6,8.7,8.5,0.2,2,0.11,0.18,-0.07,0.4,-4.3,1.4,,5.11
darnell mooney,WR,28,ATL,15,72,32,443,13.87,37,1019,4170,24.44,8,3,37.5%,0,24.2%,460,82.3,5.5,8.4,-2.9,1,0.07,0.21,-0.14,0.38,-7.5,0.96,,4.8
cooper kupp,WR,32,SEA,16,70,47,593,15.38,50,525,3758,13.97,12,7,58.3%,2,34.3%,426,116.3,7.3,7.7,-0.4,2,0.12,0.23,-0.1,0.33,-5.7,1.39,,4.38
josh downs,WR,24,IND,16,88,58,566,16.6,62,659,4380,15.05,15,10,66.7%,4,37.5%,381,138.4,8.7,8.5,0.2,4,0.25,0.17,0.08,0.35,-4.3,1.49,,5.5
jayden reed,WR,25,GNB,5,22,19,207,4.78,20,179,4283,4.18,4,4,100.0%,1,10.8%,112,48.5,9.7,7.5,2.2,1,0.2,0.15,0.05,0.1,-3.3,1.85,,4.4
deebo samuel,WR,29,WAS,16,99,72,727,22.92,78,527,3998,13.18,12,9,75.0%,4,37.5%,442,188.2,11.8,11.3,0.5,5,0.38,0.32,0.06,0.44,-1.2,1.64,,6.19
christian kirk,WR,29,HOU,11,52,28,239,9.4,30,365,4765,7.66,6,3,50.0%,1,12.5%,280,57.9,5.3,7.7,-2.4,1,0.09,0.21,-0.12,0.19,-7.7,0.85,,4.73
quentin johnston,WR,24,LAC,13,84,51,735,15.44,53,989,4546,21.76,15,10,66.7%,4,28.3%,487,171.2,13.2,12.0,1.2,8,0.62,0.43,0.19,0.38,0.2,1.51,,6.46
xavier legette,WR,24,CAR,15,64,35,363,13.33,37,633,3450,18.35,12,5,41.7%,2,30.0%,403,89.3,6.0,7.2,-1.2,3,0.2,0.25,-0.05,0.33,-7.0,0.9,,4.27
cedric tillman,WR,25,CLE,12,39,21,270,7.47,22,463,3785,12.23,4,4,100.0%,2,21.1%,315,60.0,5.0,5.2,-0.2,2,0.17,0.14,0.03,0.2,-8.0,0.86,,3.25
adam thielen,WR,35,2TM,14,35,19,186,7.48,22,306,3757,8.14,3,2,66.7%,0,4.2%,251,39.6,2.8,4.0,-1.2,0,0.0,0.05,-0.05,0.17,-10.2,0.74,,2.5
marquise brown,WR,28,KAN,16,74,49,587,13.48,51,836,4533,18.44,10,7,70.0%,5,20.8%,394,137.7,8.6,7.9,0.7,5,0.31,0.26,0.06,0.33,-4.4,1.49,,4.62
wandale robinson,WR,24,NYG,16,140,92,1014,27.83,96,1187,4473,26.54,13,4,30.8%,1,39.4%,543,217.9,13.6,13.6,0.1,4,0.25,0.27,-0.02,0.6,0.6,1.87,,8.75
rashod bateman,WR,26,BAL,13,38,19,224,9.34,22,468,3422,13.68,8,5,62.5%,2,32.0%,323,55.4,4.3,5.4,-1.1,2,0.15,0.19,-0.03,0.24,-8.7,0.69,,2.92
marvin mims,WR,23,DEN,15,51,37,322,8.73,38,478,4488,10.65,3,2,66.7%,0,5.8%,277,95.0,6.3,6.0,0.3,1,0.13,0.14,-0.01,0.21,-6.7,1.16,,3.4
demario douglas,WR,25,NWE,16,46,31,447,9.54,33,445,4612,9.65,7,4,57.1%,2,24.1%,221,95.8,6.0,5.4,0.5,3,0.19,0.2,-0.01,0.21,-7.0,2.02,,2.88
michael wilson,WR,25,ARI,17,126,78,1006,20.42,79,1502,4660,32.23,16,8,50.0%,4,39.0%,632,220.6,13.0,12.7,0.3,7,0.41,0.37,0.04,0.53,0.0,1.59,,7.41
josh palmer,WR,26,BUF,12,37,22,303,7.72,22,424,3614,11.73,6,3,50.0%,0,17.1%,239,52.3,4.4,5.7,-1.3,0,0.0,0.15,-0.15,0.2,-8.6,1.27,,3.08
romeo doubs,WR,25,GNB,16,85,55,724,18.48,58,1085,4283,25.33,17,10,58.8%,5,45.9%,419,165.4,10.3,10.3,0.0,6,0.38,0.41,-0.04,0.45,-2.7,1.73,,5.31
darius slayton,WR,28,NYG,14,63,37,538,12.52,42,843,4473,18.85,6,1,16.7%,0,18.2%,436,98.8,7.1,7.9,-0.8,1,0.07,0.23,-0.16,0.32,-5.9,1.23,,4.5
calvin austin,WR,26,PIT,14,55,31,372,10.54,33,605,3280,18.45,4,3,75.0%,2,14.3%,271,86.2,6.2,6.2,-0.1,3,0.21,0.13,0.08,0.29,-6.8,1.37,,3.93
tutu atwell,WR,26,LAR,8,15,6,192,2.58,7,302,5428,5.56,1,0,0.0%,0,1.7%,142,31.2,3.9,3.5,0.4,1,0.12,0.07,0.06,0.08,-9.1,1.35,,1.88
keenan allen,WR,33,LAC,17,122,81,777,22.43,87,1027,4546,22.59,16,7,43.8%,4,30.2%,468,182.7,10.7,11.7,-1.0,4,0.24,0.35,-0.12,0.49,-2.3,1.66,,7.18
ray-ray mccloud,WR,29,2TM,6,15,7,69,2.89,8,84,4170,2.01,1,0,0.0%,0,1.5%,136,13.9,2.3,3.9,-1.6,0,0.0,0.06,-0.06,0.06,-10.7,0.51,,2.5
elijah moore,WR,25,BUF,9,17,9,112,3.55,10,142,3614,3.93,0,0,,0,0.0%,108,28.6,3.2,3.9,-0.7,0,0.11,0.07,0.04,0.08,-9.8,1.04,,1.89
deandre hopkins,WR,33,BAL,17,39,22,330,9.58,22,513,3422,14.99,3,0,0.0%,0,12.0%,202,67.0,3.9,4.0,0.0,2,0.12,0.13,-0.02,0.25,-9.1,1.63,,2.29
tank dell,WR,26,HOU,0,0,0,0,0.0,0,0,4595,0.0,0,0,,0,0.0%,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-13.0,,,0.0
tyler lockett,WR,33,2TM,17,55,32,291,10.38,35,426,4014,10.61,2,1,50.0%,1,3.8%,373,67.1,3.9,4.6,-0.7,1,0.06,0.07,-0.01,0.23,-9.1,0.78,,3.24
jalen tolbert,WR,26,DAL,12,34,18,203,5.6,19,408,5069,8.05,4,0,0.0%,0,7.1%,265,46.3,3.9,5.3,-1.4,1,0.08,0.2,-0.12,0.14,-9.1,0.77,,2.83
tre tucker,WR,24,LVR,17,92,57,696,18.62,60,935,3208,29.15,10,6,60.0%,3,41.7%,584,161.7,9.5,9.1,0.4,5,0.29,0.22,0.07,0.48,-3.5,1.19,,5.41
olamide zaccheaus,WR,28,CHI,14,65,39,313,12.22,44,462,4944,9.34,12,7,58.3%,2,28.6%,342,84.8,6.1,7.9,-1.8,2,0.14,0.19,-0.05,0.25,-6.9,0.92,,4.64
amari cooper,WR,31,LVR,0,0,0,0,0.0,0,0,3199,0.0,0,0,,0,0.0%,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-13.0,,,0.0
kayshon boutte,WR,23,NWE,14,46,33,551,9.54,34,781,4612,16.93,4,2,50.0%,2,13.8%,375,124.1,8.9,6.4,2.4,6,0.43,0.24,0.18,0.26,-4.1,1.47,,3.29
devaughn vele,WR,28,NOR,9,39,25,293,6.9,25,432,4787,9.02,4,2,50.0%,2,11.8%,244,66.3,7.4,7.4,-0.1,2,0.22,0.24,-0.01,0.17,-5.6,1.2,,4.33
tyler boyd,WR,31,FA,0,0,0,0,0.0,0,0,0,0.0,0,0,,0,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-13.0,,,0.0
dontayvion wicks,WR,24,GNB,13,46,30,332,10.0,32,517,4283,12.07,4,3,75.0%,1,10.8%,241,75.8,5.8,6.3,-0.5,2,0.15,0.19,-0.04,0.23,-7.2,1.38,,3.54
greg dortch,WR,27,ARI,12,33,29,206,5.35,30,58,4660,1.24,7,7,100.0%,2,17.1%,216,75.1,6.3,4.9,1.4,3,0.33,0.13,0.2,0.09,-6.7,0.95,,2.75
allen lazard,WR,30,NYJ,9,18,10,70,3.81,11,142,3404,4.17,6,3,50.0%,1,21.4%,162,23.0,2.6,3.4,-0.8,1,0.11,0.22,-0.11,0.09,-10.4,0.43,,2.0
jalen mcmillan,WR,24,TAM,4,15,12,178,2.77,13,179,4504,3.97,1,1,100.0%,0,2.2%,83,29.9,7.5,6.6,0.9,0,0.0,0.15,-0.15,0.07,-5.5,2.14,,3.75
alec pierce,WR,25,IND,15,84,47,1003,15.85,48,1593,4380,36.37,9,4,44.4%,4,22.5%,478,183.3,12.2,11.3,0.9,6,0.4,0.37,0.03,0.49,-0.8,2.1,,5.6
andrei iosivas,WR,26,CIN,15,58,33,435,9.54,38,606,4707,12.87,7,2,28.6%,1,14.3%,553,89.9,6.0,6.9,-0.9,2,0.13,0.18,-0.05,0.23,-7.0,0.79,,3.87
noah brown,WR,29,WAS,4,10,5,83,2.31,5,145,3998,3.63,2,0,0.0%,0,6.2%,70,13.3,3.3,4.5,-1.2,0,0.0,0.14,-0.14,0.06,-9.7,1.19,,2.5
tim patrick,WR,32,JAX,13,24,15,187,4.39,17,258,4880,5.29,9,6,66.7%,2,18.4%,164,51.7,4.0,3.9,0.1,3,0.23,0.21,0.02,0.1,-9.0,1.14,,1.85
diontae johnson,WR,29,CLE,0,0,0,0,0.0,0,0,3591,0.0,0,0,,0,0.0%,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-13.0,,,0.0
jalen coker,WR,24,CAR,11,43,33,394,8.96,33,435,3450,12.61,3,2,66.7%,1,7.5%,291,90.4,8.2,6.6,1.6,3,0.27,0.14,0.13,0.22,-4.8,1.35,,3.91
david moore,WR,30,CAR,3,1,1,5,0.21,1,5,3450,0.14,0,0,,0,0.0%,38,2.7,0.9,0.7,0.2,0,0.0,0.0,0.0,0.0,-12.1,0.13,,0.33
sterling shepard,WR,32,TAM,13,53,39,371,9.8,39,453,4504,10.06,7,4,57.1%,1,15.2%,359,82.0,6.3,7.3,-1.0,1,0.08,0.19,-0.12,0.22,-6.7,1.03,,4.08
parker washington,WR,23,JAX,16,95,58,847,17.37,65,1187,4880,24.32,14,10,71.4%,4,28.6%,412,184.7,11.5,11.1,0.4,5,0.31,0.35,-0.04,0.43,-1.5,2.06,,5.94
nick westbrook-ikhine,WR,28,MIA,13,20,11,89,4.33,14,110,3362,3.27,2,0,0.0%,0,6.5%,222,19.9,1.5,2.3,-0.8,0,0.0,0.02,-0.02,0.09,-11.5,0.4,,1.54
mack hollins,WR,32,NWE,14,65,46,550,13.49,46,851,4612,18.45,5,4,80.0%,2,17.2%,343,113.4,8.1,8.3,-0.2,2,0.14,0.22,-0.08,0.33,-4.9,1.6,,4.64
liljordan humphrey,WR,27,2TM,7,25,13,156,4.97,14,277,4473,6.19,4,1,25.0%,1,4.7%,174,34.6,4.9,6.1,-1.2,1,0.14,0.25,-0.1,0.12,-8.1,0.9,,3.57
demarcus robinson,WR,31,SFO,14,35,22,276,6.36,23,472,4296,10.99,3,1,33.3%,0,10.7%,266,58.2,4.2,4.8,-0.7,1,0.07,0.17,-0.09,0.17,-8.8,1.04,,2.5
curtis samuel,WR,29,BUF,6,9,7,81,1.88,7,145,3614,4.01,1,1,100.0%,1,2.9%,91,21.1,3.5,2.7,0.8,1,0.17,0.08,0.09,0.06,-9.5,0.89,,1.5
kavontae turpin,WR,29,DAL,15,38,26,396,6.26,30,339,5069,6.69,5,3,60.0%,1,8.9%,241,84.5,5.6,5.2,0.5,2,0.13,0.13,0.01,0.14,-7.4,1.64,,2.53
dyami brown,WR,26,JAX,11,37,20,227,6.76,25,518,4880,10.61,9,4,44.4%,1,18.4%,205,49.7,4.5,7.3,-2.7,1,0.09,0.33,-0.24,0.18,-8.5,1.11,,3.36
christian watson,WR,26,GNB,10,55,35,611,11.96,36,977,4283,22.81,6,3,50.0%,2,16.2%,244,132.4,13.2,11.0,2.2,6,0.6,0.44,0.16,0.34,0.2,2.5,,5.5
kendrick bourne,WR,30,SFO,14,53,37,551,9.64,43,584,4296,13.59,2,1,50.0%,0,7.1%,361,92.1,6.6,6.2,0.4,0,0.0,0.08,-0.08,0.24,-6.4,1.53,,3.79
troy franklin,WR,22,DEN,17,104,65,709,17.81,69,1321,4488,29.43,18,14,77.8%,4,34.6%,491,177.1,10.4,11.4,-1.0,6,0.35,0.4,-0.04,0.47,-2.6,1.44,,6.12
jalen nailor,WR,26,MIN,17,53,29,444,11.32,30,656,3757,17.46,12,6,50.0%,4,27.3%,421,100.7,5.9,6.0,-0.1,4,0.24,0.27,-0.04,0.29,-7.1,1.05,,3.12
brandin cooks,WR,32,2TM,13,36,24,279,6.37,27,516,4787,10.78,1,0,0.0%,0,1.4%,351,51.9,4.0,4.3,-0.3,0,0.0,0.08,-0.08,0.17,-9.0,0.79,,2.77
tyler johnson,WR,27,NYJ,9,18,12,197,3.81,14,210,3404,6.17,3,2,66.7%,1,10.7%,171,37.7,4.2,3.1,1.1,1,0.11,0.05,0.06,0.1,-8.8,1.15,,2.0
malik washington,WR,25,MIA,17,65,46,317,14.07,47,337,3362,10.02,11,10,90.9%,3,35.5%,366,116.7,6.9,6.9,0.0,3,0.24,0.21,0.02,0.28,-6.1,0.87,,3.82
brandon aiyuk,WR,27,SFO,0,0,0,0,0.0,0,0,4130,0.0,0,0,,0,0.0%,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-13.0,,,0.0
van jefferson,WR,29,TEN,14,52,29,350,9.81,30,623,4014,15.52,3,2,66.7%,1,10.7%,374,70.0,5.0,5.8,-0.8,1,0.07,0.1,-0.02,0.26,-8.0,0.94,,3.71
john metchie,WR,25,2TM,13,48,33,274,10.34,36,268,4483,5.98,5,1,20.0%,1,8.6%,258,71.9,5.5,5.3,0.2,2,0.15,0.08,0.08,0.2,-7.5,1.06,,3.69
rashee rice,WR,25,KAN,8,78,53,571,14.21,57,338,4533,7.46,18,11,61.1%,4,37.5%,266,150.1,18.8,18.1,0.7,5,0.75,0.79,-0.04,0.27,5.8,2.15,,9.75
adonai mitchell,WR,23,2TM,16,74,33,453,13.96,35,1102,4380,25.16,8,3,37.5%,1,11.8%,310,87.9,5.5,7.3,-1.8,2,0.12,0.18,-0.06,0.39,-7.5,1.46,,4.62
justin watson,WR,29,HOU,3,4,3,30,0.72,3,33,4765,0.69,2,1,50.0%,0,4.2%,33,6.0,2.0,2.4,-0.4,0,0.0,0.11,-0.11,0.02,-11.0,0.91,,1.33
jordan whittington,WR,25,LAR,15,25,18,171,4.3,20,171,5428,3.15,1,1,100.0%,0,1.7%,217,36.3,2.4,2.8,-0.4,0,0.0,0.04,-0.04,0.09,-10.6,0.79,,1.67
mike williams,WR,31,LAC,0,0,0,0,0.0,0,0,4407,0.0,0,0,,0,0.0%,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-13.0,,,0.0
gabriel davis,WR,26,BUF,6,18,12,129,3.76,12,159,3614,4.4,6,4,66.7%,1,17.1%,135,30.9,5.1,6.0,-0.8,1,0.17,0.35,-0.18,0.09,-7.9,0.96,,3.0
cedrick wilson,WR,30,MIA,6,9,5,44,1.95,5,79,3362,2.35,3,1,33.3%,0,9.7%,78,9.4,1.6,2.6,-1.1,0,0.0,0.12,-0.12,0.05,-11.4,0.56,,1.5
robert woods,WR,33,PIT,0,0,0,0,0.0,0,0,3166,0.0,0,0,,0,0.0%,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-13.0,,,0.0
jahan dotson,WR,25,PHI,15,36,18,262,7.76,18,555,4483,12.38,5,0,0.0%,0,16.7%,413,50.2,3.3,4.1,-0.7,1,0.07,0.11,-0.04,0.2,-9.7,0.63,,2.4
marquez valdes-scantling,WR,31,2TM,9,29,14,120,5.27,14,354,4296,8.24,5,2,40.0%,1,8.9%,233,32.0,3.6,5.5,-2.0,1,0.11,0.2,-0.08,0.14,-9.4,0.52,,3.22
luke mccaffrey,WR,24,WAS,9,15,11,203,3.47,11,218,3998,5.45,2,1,50.0%,1,6.2%,107,51.3,5.7,3.3,2.4,3,0.33,0.12,0.21,0.09,-7.3,1.9,,1.67
juju smith-schuster,WR,29,KAN,17,45,33,345,8.2,35,244,4533,5.38,9,4,44.4%,1,18.8%,388,73.5,4.3,4.4,0.0,1,0.06,0.13,-0.08,0.16,-8.7,0.89,,2.65
kalif raymond,WR,31,DET,15,30,24,289,5.45,24,169,3732,4.53,2,1,50.0%,0,3.5%,217,66.8,4.5,3.4,1.1,1,0.07,0.04,0.03,0.11,-8.5,1.33,,2.0
jonathan mingo,WR,24,DAL,5,5,1,25,0.82,2,97,5069,1.91,0,0,,0,0.0%,41,3.5,0.7,1.8,-1.1,0,0.0,0.02,-0.02,0.03,-12.3,0.61,,1.0
dj turner,WR,28,LVR,1,0,0,0,0.0,0,0,3199,0.0,0,0,,0,0.0%,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-13.0,,,0.0
nelson agholor,WR,32,FA,0,0,0,0,0.0,0,0,0,0.0,0,0,,0,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-13.0,,,0.0
mason tipton,WR,25,NOR,8,17,11,76,3.01,11,149,4787,3.11,2,1,50.0%,0,5.9%,179,20.4,2.5,3.6,-1.0,0,0.0,0.05,-0.05,0.07,-10.4,0.42,,2.12
jake bobo,WR,27,SEA,5,2,2,20,0.44,2,14,3758,0.37,0,0,,0,0.0%,36,4.0,0.8,0.6,0.2,0,0.0,0.0,0.0,0.01,-12.2,0.56,,0.4
derius davis,WR,25,LAC,11,3,2,10,0.55,2,33,4546,0.73,0,0,,0,0.0%,54,3.5,0.3,0.5,-0.2,0,0.0,0.02,-0.02,0.01,-12.7,0.19,,0.27
josh reynolds,WR,30,NYJ,5,21,11,101,4.45,11,276,3404,8.11,1,0,0.0%,0,3.6%,163,23.1,4.6,6.7,-2.1,0,0.0,0.12,-0.12,0.12,-8.4,0.62,,4.2
jalen brooks,WR,25,ARI,5,6,3,51,0.99,4,68,5069,1.34,0,0,,0,0.0%,74,8.1,1.6,1.8,-0.2,0,0.0,0.01,-0.01,0.02,-11.4,0.69,,1.2
mecole hardman,WR,27,BUF,2,1,0,0,0.21,0,46,3614,1.27,0,0,,0,0.0%,3,0.0,0.0,1.4,-1.4,0,0.0,0.04,-0.04,0.01,-13.0,0.0,,0.5
xavier hutchinson,WR,25,HOU,16,57,35,428,10.31,37,584,4765,12.26,7,5,71.4%,2,14.6%,407,98.0,6.1,6.3,-0.2,3,0.19,0.18,0.01,0.24,-6.9,1.05,,3.56
