Player,Age_2025,Team_2025,Team_2024,G_2025,G_2024,G_diff_2025_minus_2024,Att_2025,Att_2024,Att_diff_2025_minus_2024,Team Att_2025,Team Att_2024,Team Att_diff_2025_minus_2024,Att_Share_2025,Att_Share_2024,Att_Share_diff_2025_minus_2024,Yds_2025,Yds_2024,Yds_diff_2025_minus_2024,YBC_2025,YBC_2024,YBC_diff_2025_minus_2024,YBC/Att_2025,YBC/Att_2024,YBC/Att_diff_2025_minus_2024,YAC_2025,YAC_2024,YAC_diff_2025_minus_2024,YAC/Att_2025,YAC/Att_2024,YAC/Att_diff_2025_minus_2024,REC_2025,REC_2024,REC_diff_2025_minus_2024,TGT_2025,TGT_2024,TGT_diff_2025_minus_2024,Team TGT_2025,Team TGT_2024,Team TGT_diff_2025_minus_2024,TGT_share_2025,TGT_share_2024,TGT_share_diff_2025_minus_2024,Rec YDS_2025,Rec YDS_2024,Rec YDS_diff_2025_minus_2024,Rush TD_2025,Rush TD_2024,Rush TD_diff_2025_minus_2024,Rec TD_2025,Rec TD_2024,Rec TD_diff_2025_minus_2024,RZ TD_2025,RZ TD_2024,RZ TD_diff_2025_minus_2024,RZ PCT_2025,RZ PCT_2024,RZ PCT_diff_2025_minus_2024,RZ REC_2025,RZ REC_2024,RZ REC_diff_2025_minus_2024,RZ REC TD_2025,RZ REC TD_2024,RZ REC TD_diff_2025_minus_2024,FPTS_2025,FPTS_2024,FPTS_diff_2025_minus_2024,FPTS/G_2025,FPTS/G_2024,FPTS/G_diff_2025_minus_2024,XFP_2025,XFP_2024,XFP_diff_2025_minus_2024,TD/G_2025,TD/G_2024,TD/G_diff_2025_minus_2024,XTD_2025,XTD_2024,XTD_diff_2025_minus_2024,fpts_diff_2025,fpts_diff_2024,fpts_diff_diff_2025_minus_2024,tds_diff_2025,tds_diff_2024,tds_diff_diff_2025_minus_2024,VOR_2025,VOR_2024,VOR_diff_2025_minus_2024,ALY_2025,ALY_2024,ALY_diff_2025_minus_2024,normalized_line_pred,Bet_Line_Rush_Yds,Bet_Line_Rush_TD,Bet_Line_Rec_Yds,Bet_Line_Rec,Bet_Line_Rec_TD,Total_Targets,Expected_Receiving_Yards,Expected_Receptions,Expected_Receiving_TDs,Expected_Fantasy_Points_PPR,Team_2026,Predicted_RECs_2026,Predicted_Rec_Yards_2026,Predicted_Rec_TDs_2026,Predicted_Rush_TDs_2026,Calculated_Expected_Points_PPR_2026,Prediction_Reasoning_2026
breece hall,24,NYJ,NYJ,16,16,0,243,209,34,334,331,3,72.75,63.14,9.61,1065,876,189,618,432,186,2.54,2.1,0.44,447,444,3,1.84,2.1,-0.26,36,57,-21,48,76,-28,93,115,-22,51.61,66.09,-14.48,350,483,-133,4,5,-1,1,3,-2,2,5,-3,52.2%,65.7%,-13.5,2,6,-4,0,0,0,207.7,240.9,-33.2,13.0,15.1,-2.1,12.3,15.5,-3.2,0.31,0.5,-0.19,0.31,0.47,-0.16,0.7,-0.4,1.1,0.0,0.03,-0.03,1.5,3.6,-2.1,4.19,4.35,-0.16,903.77,900.5,5,325.5,,,51,325.5,38.25,1.06,197.23,NYJ,44,325.5,2,5,208.60,"Market anchors used: receiving yards=325.5, rushing TDs=5. Receiving fell to 36-350 from 57-483; the franchise-tagged back can rebound with pocket passer Geno Smith, though the Jets offense still caps upside."
Jeremiyah Love,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,894.5,6,,,,,,,,,ARI,41,317,2,6,210.15,"Market anchors used: rushing TDs=6. The No. 3 overall rookie has a clear path to lead work in Arizona, but Tyler Allgeier can take early-down and goal-line touches; use a strong but not full-workhorse first-year receiving projection."
Quinshon Judkins,22,CLE,,14,,,230,,,353,,,65.16,,,827,,,322,,,1.4,,,505,,,2.2,,,26,,,36,,,120,,,30.0,,,171,,,7,,,0,,,6,,,64.0%,,,1,,,0,,,169.8,,,12.1,,,12.9,,,0.5,,,0.45,,,-0.8,,,0.05,,,0.6,,,3.54,,,,888.5,6,,,,43.71,207.64,31.57,0,177.19,CLE,35,250,1,6,190.85,"Market anchors used: rushing TDs=6. He had 26-171 in 14 games and only 2.6 targets per game; a large carry role remains, but leg rehab, new coach Todd Monken, and QB uncertainty limit the receiving ceiling."
chase brown,25,CIN,CIN,17,16,1,232,229,3,334,331,3,69.46,69.18,0.28,1019,990,29,561,599,-38,2.42,2.6,-0.18,458,391,67,1.97,1.7,0.27,69,54,15,88,65,23,111,103,8,79.28,63.11,16.17,437,360,77,6,7,-1,5,4,1,6,6,0,69.2%,73.8%,-4.6,8,10,-2,5,4,1,282.6,255,27.6,16.6,15.9,0.7,16.2,16.1,0.1,0.65,0.7,-0.05,0.54,0.83,-0.29,0.4,-0.2,0.6,0.1,-0.13,0.23,5.1,4.4,0.7,4.64,4.37,0.27,856.75,840.5,6,,,,88,437,69,5,262.75,CIN,64,475,4,6,255.55,"Market anchors used: rushing TDs=6. He improved from 54-360 to 69-437; a healthy Joe Burrow and minimal backfield competition sustain the catch floor, with mild regression from five rec TDs."
david montgomery,28,DET,DET,17,14,3,158,185,-27,407,478,-71,38.82,38.7,0.12,716,775,-59,382,347,35,2.42,1.9,0.52,334,428,-94,2.11,2.3,-0.19,24,36,-12,29,38,-9,123,110,13,23.58,34.55,-10.97,192,341,-149,8,12,-4,0,0,0,6,12,-6,39.5%,47.6%,-8.1,1,3,-2,0,0,0,166.9,221.7,-54.8,9.8,15.8,-6,9.7,13.9,-4.2,0.47,0.9,-0.43,0.6,0.76,-0.16,0.1,1.9,-1.8,-0.13,0.14,-0.27,-1.7,4.3,-6,4.19,5.1,-0.91,725.5,817.5,7,,,,29,192,24,0,166.95,HOU,26,205,1,7,176.25,"Market anchors used: rushing TDs=7. Receiving declined from 36-341 to 24-192; after the trade to Houston, Woody Marks should retain passing-down work, keeping Montgomery touchdown-dependent."
Cam Skattebo,23,NYG,,8,,,101,,,396,,,25.51,,,410,,,218,,,2.16,,,192,,,1.9,,,24,,,32,,,99,,,32.32,,,207,,,5,,,2,,,5,,,34.8%,,,3,,,2,,,127.7,,,16.0,,,14.4,,,0.88,,,0.65,,,1.6,,,0.22,,,4.5,,,4.41,,,,817,6,275.5,,,68,275.5,51,4.25,221.75,NYG,38,275.5,2,6,195.25,"Market anchors used: receiving yards=275.5, rushing TDs=6. He produced 24-207 in eight rookie games; a full-season role is viable with the same backfield competition, but ankle recovery and new coaches John Harbaugh and Matt Nagy add uncertainty."
chuba hubbard,26,CAR,CAR,15,15,0,134,250,-116,391,342,49,34.27,73.1,-38.83,511,1195,-684,269,656,-387,2.01,2.6,-0.59,242,539,-297,1.81,2.2,-0.39,30,43,-13,39,54,-15,92,90,2,42.39,60,-17.61,223,171,52,1,10,-9,3,1,2,1,8,-7,31.6%,83.3%,-51.7,4,8,-4,1,1,0,125.4,241.6,-116.2,8.4,16.1,-7.7,8.8,16.8,-8,0.27,0.7,-0.43,0.26,0.8,-0.54,-0.5,-0.7,0.2,0.01,-0.1,0.11,-3.1,4.6,-7.7,4.67,4.73,-0.06,950.5,813.5,4,,,,44.2,252.73,34,3.4,185.02,CAR,40,275,2,4,184.85,"Market anchors used: rushing TDs=4. He followed 43-171 with 30-223 in an injury-hit season; Rico Dowdle's departure restores opportunity, though Jonathon Brooks and Trevor Etienne will still take touches."
bucky irving,23,TAM,TAM,10,17,-7,173,207,-34,398,401,-3,43.47,51.62,-8.15,588,1122,-534,305,566,-261,1.76,2.7,-0.94,283,556,-273,1.64,2.7,-1.06,30,47,-17,35,52,-17,91,121,-30,38.46,42.98,-4.52,277,392,-115,1,8,-7,3,0,3,1,7,-6,31.6%,57.4%,-25.8,3,7,-4,1,0,1,138.5,244.4,-105.9,13.8,14.4,-0.6,13.9,12.6,1.3,0.4,0.5,-0.1,0.26,0.56,-0.3,-0.1,1.8,-1.9,0.14,-0.06,0.2,2.3,2.9,-0.6,4.07,4.83,-0.76,1005.37,806,5,,,,59.5,470.9,51,5.1,239.29,TAM,43,385,2.5,5,207.10,"Market anchors used: rushing TDs=5. He posted 30-277 in 10 games after 47-392 as a rookie; Kenneth Gainwell's arrival can siphon passing downs, and 2025 durability and efficiency issues lower the ceiling."
travis etienne,26,JAX,JAX,17,15,2,260,150,110,373,350,23,69.71,42.86,26.85,1107,558,549,562,283,279,2.16,1.9,0.26,545,275,270,2.1,1.8,0.3,36,39,-3,52,52,0,78,83,-5,66.67,62.65,4.02,292,254,38,7,2,5,6,0,6,5,2,3,64.3%,34.5%,29.8,8,3,5,5,0,5,253.9,130.2,123.7,14.9,8.7,6.2,14.2,11.4,2.8,0.76,0.1,0.66,0.62,0.32,0.3,0.7,-2.7,3.4,0.15,-0.22,0.37,3.4,-2.8,6.2,4.2,4.33,-0.13,575.5,799.5,5,,35.5,,52,292,35.5,6,210.65,NOR,35.5,285,2,5,185.95,"Market anchors used: receptions=35.5, rushing TDs=5. After 39-254 and 36-292, he moves to New Orleans with a feature-back path if Alvin Kamara departs; four straight 35-catch seasons support the market line."
tony pollard,28,TEN,TEN,17,16,1,242,260,-18,328,367,-39,73.78,70.84,2.94,1082,1079,3,640,521,119,2.64,2,0.64,442,558,-116,1.83,2.1,-0.27,33,41,-8,41,57,-16,93,95,-2,44.09,60,-15.91,206,238,-32,5,5,0,0,0,0,3,3,0,57.6%,65.2%,-7.6,1,2,-1,0,0,0,185.8,200.7,-14.9,10.9,12.5,-1.6,10.8,15,-4.2,0.29,0.3,-0.01,0.26,0.34,-0.08,0.1,-2.5,2.6,0.03,-0.04,0.07,-0.6,1,-1.6,4.44,4.1,0.34,873.94,798.5,5,,,,41,206,33,0,163.45,TEN,34,215,0.8,5,170.15,"Market anchors used: rushing TDs=5. Receiving slipped from 41-238 to 33-206 as Tyjae Spears took passing work; modest Cam Ward growth helps the offense, but the role remains capped."
dandre swift,26,CHI,CHI,16,17,-1,223,253,-30,400,325,75,55.75,77.85,-22.1,1087,959,128,716,511,205,3.21,2,1.21,371,448,-77,1.66,1.8,-0.14,34,42,-8,48,52,-4,79,86,-7,60.76,60.47,0.29,299,386,-87,9,6,3,1,0,1,8,2,6,52.6%,61.2%,-8.6,1,0,1,0,0,0,228.6,214.5,14.1,14.3,12.6,1.7,13.4,13.6,-0.2,0.62,0.4,0.22,0.51,0.48,0.03,0.9,-1,1.9,0.11,-0.08,0.19,2.8,1.1,1.7,4.97,3.8,1.17,817.17,798,6,,,,51,317.69,36.12,1.06,190.07,CHI,40,315,1.5,6,196.30,"Market anchors used: rushing TDs=6. He followed 42-386 with 34-299; Kyle Monangai should command more committee work in Year 2, while Swift retains the primary receiving role."
Jadarian Price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,755.5,6,,,,,,,,,SEA,27,182,1.5,6,165.75,"Market anchors used: rushing TDs=6. The first-round rookie has a path after Kenneth Walker left and Zach Charbonnet tore his ACL, but Seattle may ease him in with George Holani and Emanuel Wilson; his college role was not a workhorse role."
rico dowdle,27,CAR,DAL,17,16,1,236,235,1,391,346,45,60.36,67.92,-7.56,1076,1079,-3,596,570,26,2.53,2.4,0.13,480,509,-29,2.03,2.2,-0.17,39,39,0,50,49,1,92,86,6,54.35,56.98,-2.63,297,249,48,6,2,4,1,3,-2,6,1,5,59.6%,52.8%,6.8,3,4,-1,0,2,-2,216.3,197.8,18.5,12.7,12.4,0.3,11.7,13.3,-1.6,0.41,0.3,0.11,0.33,0.38,-0.05,1.0,-0.9,1.9,0.08,-0.08,0.16,1.2,0.9,0.3,4.67,4.6,0.07,,750,4,,,,50,297,39,1,173.7,PIT,32,230,1,4,160.00,"Market anchors used: rushing TDs=4. He caught 39 passes in each of the past two seasons, but the move to Pittsburgh creates a split with Jaylen Warren and Kaleb Johnson in a Mike McCarthy offense that rarely targets backs."
Bhayshul Tuten,23,JAX,,15,,,83,,,373,,,22.25,,,307,,,137,,,1.65,,,170,,,2.05,,,10,,,14,,,78,,,17.95,,,79,,,5,,,2,,,5,,,29.8%,,,2,,,2,,,88.6,,,5.9,,,5.5,,,0.47,,,0.32,,,0.4,,,0.15,,,-5.6,,,4.2,,,,709.5,5,,,,15.87,89.53,11.33,2.27,134.84,JAX,30,210,1.2,5,159.15,"Market anchors used: rushing TDs=5. He had 10-79 in a limited rookie role; Travis Etienne's exit opens lead work, but LeQuint Allen profiles as the receiving specialist and Chris Rodriguez joins the committee."
TreVeyon Henderson,23,NWE,,17,,,180,,,371,,,48.52,,,911,,,549,,,3.05,,,362,,,2.01,,,35,,,42,,,85,,,49.41,,,221,,,9,,,1,,,5,,,50.7%,,,4,,,1,,,206.2,,,12.1,,,11.0,,,0.59,,,0.48,,,1.2,,,0.11,,,0.6,,,4.09,,,,706,5,,,,42,221,35,1,163.7,NWE,42,325,2,5,187.10,"Market anchors used: rushing TDs=5. He posted 35-221 as a rookie and should earn more work after an efficient debut, but Rhamondre Stevenson remains a meaningful committee partner."
jk dobbins,27,DEN,LAC,10,13,-3,153,195,-42,354,373,-19,43.22,52.28,-9.06,772,905,-133,398,416,-18,2.6,2.1,0.5,374,489,-115,2.44,2.5,-0.06,11,32,-21,14,38,-24,117,55,62,11.97,69.09,-57.12,37,153,-116,4,9,-5,0,0,0,4,7,-3,35.1%,43.9%,-8.8,0,5,-5,0,0,0,115.9,191.8,-75.9,11.6,14.8,-3.2,10.9,14,-3.1,0.4,0.7,-0.3,0.38,0.53,-0.15,0.7,0.8,-0.1,0.02,0.17,-0.15,0.1,3.3,-3.2,4.36,4.13,0.23,,675.5,5,,,,23.8,62.9,18.7,0,122.54,DEN,21,145,0.5,5,136.05,"Market anchors used: rushing TDs=5. He managed 11-37 in 10 games and re-signed with Denver; RJ Harvey already drew more targets and can take the lead role, while Dobbins' durability remains a major discount."
blake corum,25,LAR,LAR,17,17,0,145,58,87,413,397,16,35.11,14.61,20.5,746,207,539,509,122,387,3.51,2.1,1.41,237,85,152,1.63,1.5,0.13,8,7,1,14,8,6,64,55,9,21.88,14.55,7.33,36,58,-22,6,0,6,0,0,0,5,0,5,33.8%,10.1%,23.7,0,0,0,0,0,0,122.2,33.5,88.7,7.2,2.2,5,7.2,3.3,3.9,0.35,0,0.35,0.41,0.13,0.28,0.0,-1.1,1.1,-0.05,-0.13,0.08,-4.3,-9.3,5,5.09,4.63,0.46,,662.5,6,,,,14,36,8,0,113.85,LAR,13,95,0.3,6,126.55,"Market anchors used: rushing TDs=6. Receiving stayed negligible at 7-58 and 8-36; he remains Kyren Williams' backup after a 29% snap share, making him an insurance back rather than a weekly pass-game option."
